Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,187.61,0.006811676837424452,184.91214285714287,176.8956
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,187.0,-0.0032378607671070814,185.22214285714287,177.2676
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,185.13,-0.009987968514962198,185.42000000000002,177.5332
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,187.16,0.010921343954667595,185.68714285714285,177.89120000000003
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,184.92,-0.011966053907370822,185.71142857142857,178.15839999999997
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,185.42,0.002696993847018714,185.71928571428572,178.47279999999998
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,184.98,-0.0023473088860327396,185.67714285714285,178.76080000000002
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,186.7,0.009312835054561042,185.76500000000001,179.0
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400,188.59,0.010100903607195955,186.07500000000002,179.2782
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,188.6,4.806086155650924e-05,186.3921428571429,179.6196
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,188.39,-0.0011055085051905333,186.6864285714286,179.93619999999999
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000,189.71,0.007026581898208928,186.95285714285714,180.27380000000002
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,190.31,0.003154103217635651,187.20428571428573,180.68919999999997
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,190.49,0.0009529173060205398,187.5007142857143,181.15399999999997
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,189.47,-0.005378356536560713,187.63357142857143,181.59820000000002
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,189.47,0.0,187.81,182.0452
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,189.14,-0.0017227234315755346,188.09642857142856,182.52919999999997
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,189.42,0.0014860947163730653,188.25785714285715,182.9508
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,189.81,0.0020581606391558704,188.60714285714286,183.32319999999999
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,188.09,-0.009075812808939099,188.7978571428571,183.60539999999997
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,187.07,-0.005398872426632173,188.94714285714284,183.88139999999999
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,188.56,0.007948549840303132,189.07999999999998,184.18880000000001
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,186.92,-0.00870318286443228,188.96071428571426,184.4132
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,185.88,-0.005578368257692756,188.76642857142858,184.66119999999998
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,185.84,-0.00019480098899471443,188.5842857142857,184.8926
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,186.52,0.003658916078030927,188.35642857142855,185.0954
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,186.68,0.0008264170061600407,188.09714285714287,185.3094
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,189.0,0.012433673329679484,187.9907142857143,185.59740000000002
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,187.23,-0.00935462327511849,187.8307142857143,185.768
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,187.28,0.00029054128779137933,187.67428571428567,185.9236
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,185.65,-0.00871427726420726,187.42499999999998,186.03240000000002
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800,187.48,0.00986528184999047,187.28642857142856,186.1662
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900,185.73,-0.009333564909051462,186.99499999999998,186.26199999999997
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100,185.79,0.00029271719936585505,186.8307142857143,186.39860000000002
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500,185.14,-0.0034650104088291833,186.69285714285712,186.50439999999998
