Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-03,2016,5,3,Tuesday,18,2016-18,93.5,94.54,92.66,92.86,1796400,82.12,-0.009176157253896755,81.44714285714285,81.2076
2016-05-04,2016,5,4,Wednesday,18,2016-18,92.36,92.85,91.85,92.14,1507400,81.48,-0.007753524618653085,81.44357142857143,81.24700000000001
2016-05-05,2016,5,5,Thursday,18,2016-18,92.08,92.94,91.64,91.9,1621000,81.27,-0.002604703841577627,81.34214285714287,81.2688
2016-05-06,2016,5,6,Friday,18,2016-18,91.6,91.78,90.21,91.61,1060900,81.01,-0.003155906197196412,81.18857142857144,81.263
2016-05-09,2016,5,9,Monday,19,2016-19,91.79,92.95,91.71,92.47,874500,81.77,0.009387977971222705,81.05642857142857,81.29560000000001
2016-05-10,2016,5,10,Tuesday,19,2016-19,92.75,93.27,92.56,93.16,740300,82.38,0.007461821805235136,81.1557142857143,81.3356
2016-05-11,2016,5,11,Wednesday,19,2016-19,92.92,93.38,91.89,92.24,919800,81.57,-0.009875499820015232,81.31142857142856,81.3424
2016-05-12,2016,5,12,Thursday,19,2016-19,92.45,93.24,92.04,93.16,804500,82.38,0.009973998035822884,81.47571428571429,81.358
2016-05-13,2016,5,13,Friday,19,2016-19,93.0,93.4,92.37,92.44,929100,81.75,-0.007728555398028414,81.54357142857143,81.34179999999999
2016-05-16,2016,5,16,Monday,20,2016-20,92.26,92.89,92.09,92.69,741000,81.97,0.002704233060371486,81.73857142857142,81.3332
2016-05-17,2016,5,17,Tuesday,20,2016-20,92.35,92.78,90.38,90.7,1105000,80.21,-0.021469410139451583,81.72785714285715,81.3024
2016-05-18,2016,5,18,Wednesday,20,2016-20,90.25,90.94,89.33,89.88,1076000,79.48,-0.009040903460649341,81.61500000000001,81.2642
2016-05-19,2016,5,19,Thursday,20,2016-20,89.6,90.64,89.17,90.64,1219100,80.15,0.0084558854231509,81.45857142857142,81.23
2016-05-20,2016,5,20,Friday,20,2016-20,90.89,91.1,90.35,90.77,1043300,80.27,0.0014341268702091625,81.27214285714285,81.2092
2016-05-23,2016,5,23,Monday,21,2016-21,90.24,91.33,89.98,90.62,869200,80.66,0.004801299026309991,81.16785714285713,81.18260000000001
2016-05-24,2016,5,24,Tuesday,21,2016-21,90.72,91.68,90.57,91.34,761200,81.3,0.007945135403011783,81.15499999999999,81.1758
2016-05-25,2016,5,25,Wednesday,21,2016-21,91.44,91.78,90.85,91.36,1483900,81.31,0.00021922705757404515,81.15785714285713,81.1654
2016-05-26,2016,5,26,Thursday,21,2016-21,91.47,92.75,91.33,92.15,918400,82.02,0.008646874564585794,81.22999999999999,81.16460000000001
